No Buku,Judul,Genre,Penulis
1,Negeri Para Bedebah,Fiksi Realis,Tere Liye
2,Negeri Di ujung Tanduk,Fiksi Indonesia,Tere Liye
3,Pulang,Aksi,Tere Liye
4,Pergi,Aksi & Petualangan,Tere Liye
5,Pulang pergi,Fiksi & Psikologis,Tere Liye
6,Bumi,"Fantasi, Fiksi Ilmiah, & Petualangan",Tere Liye
7,Bulan,"Fantasi, Fiksi Ilmiah, & Petualangan",Tere Liye
8,Matahari,"Fantasi, Fiksi Ilmiah, & Petualangan",Tere Liye
9,Bintang,"Fantasi, Fiksi Ilmiah, & Petualangan",Tere Liye
10,Ceros dan Batozar,"Fantasi, Fiksi Ilmiah, & Petualangan",Tere Liye
11,Komet,"Fantasi, Fiksi Ilmiah, & Petualangan",Tere Liye
12,Komet Minor,"Fantasi, Fiksi Ilmiah, & Petualangan",Tere Liye
13,Selena ,"Fantasi, Fiksi Ilmiah, & Petualangan",Tere Liye
14,Nebula,"Fantasi, Fiksi Ilmiah, & Petualangan",Tere Liye
15,Lumpu,"Fantasi, Fiksi Ilmiah, & Petualangan",Tere Liye
16,Si Putih,"Fantasi, Fiksi Ilmiah, & Petualangan",Tere Liye
17,Bibi Gill,"Fantasi, Fiksi Ilmiah, & Petualangan",Tere Liye
18,Sagaras,"Fantasi, Fiksi Ilmiah, & Petualangan",Tere Liye
19,Matahari minor,"Fantasi, Fiksi Ilmiah, & Petualangan",Tere Liye
20,ILY,"Fantasi, Fiksi Ilmiah, & Petualangan",Tere Liye
21,Si Anak Kuat,Romansa,Tere Liye
22,Si Anak Spesial,Anak & Keluarga,Tere Liye
23,Si Anak Pintar,Drama atau Fiksi,Tere Liye
24,Si Anak Pemberani,Drama atau Fiksi,Tere Liye
25,Si Anak Cahaya,Anak & Keluarga,Tere Liye
26,Si Anak Badai,Anak & Keluarga,Tere Liye
27,Hujan,"Romansa, Sci-fi, Drama",Tere Liye
28,Sepotong Hati Yang Baru,Drama & Remaja,Tere Liye
29,Berjuta Rasanya,Fiksi,Tere Liye
30,Sesuk,"Horor, Fiksi",Tere Liye
31,Selamat Tinggal,Inspirasi dan Drama,Tere Liye
32,Rindu,"Fantasi, Sejarah, Fiksi",Tere Liye
33,Tentang Kamu,"Fantasi, Ramansa, Fiksi, Sejarah",Tere Liye
34,Fatamorgana,Chick lit dan Romansa,Prilly Latuconsina
35,Azzammine,Romansa,Sophie Aulia
36,Dear Nathan,Romansa,Erisca Febriani
37,Dikta dan Hukum,Romansa,Dhia'an Farah
38,Garis Waktu,Sastra,Fiersa Besari
39,Pagi Gerimis,Fiksi,Nurhasanah
40,Atheis,Fiksi dewasa,Achdiat Mihardja
41,Laut Bercerita,Fiksi,Leila Salikha Chudor
42,Malioboro at Midnight,Fiksi,Skysphire
43,Laut Pasang 2,Romansa,Lilpudu
44,Laskar Pelangi,Fiksi,Andrea Hirata
45,Sang Pemimpi,Romansa,Andrea Hirata
46,Ikigai,Self-help book,Hector Garcia & Francesc Miralles
47,Atomic Habits,Self-help book,James Clear
48,Alpha Girl's,Self-help book,Henry Manampiring
49,The Psychology Of Money,Self-help book,Morgan Houzel
50,Sebuah Seni Untuk Bersikap Bodo Amat,Self-help book,Mark Manson
51,Ananta Prahadi,Fiksi,Risa Saraswati
52,Sebuah Usaha Melupakan,"Romansa, FIksi Dewasa Muda",Boy Chandra
53,Get Married,"Drama, Komedi, Romansa, Chicklit atau Fiksi",Ninit Yunita
54,Shirat ,Romansa,riyanto el-harist
55,Rival Brother,Romansa,Sayfullan
56,Olenka,Fiksi,Budi Darma
57,Bola Ajaib,Fiksi,Ian Mahesa
58,Kisah Anak cahaya,Fiksi Sastra,Arshanda
59,satsuki sensei dan kisah kisah lain tentang cinta dan harapan,Fiksi ,Primadonna angela
60,Rock Mini Band Kisah Santri Rocker,Novel Pop Remaja,Fuad Hanif
61,Perempuan Berkalung Sorban,Romansa,Abidah El Khalieqy
62,"Senja, Hujan, Cerita Yang Telah usai",Non Fiksi,Boy Chandra
